repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/d3/d3,2019-08-01T15:08:11Z,CLOSED,1,4,5,6,0,2018-12-19T05:57:35Z,MDExOlB1bGxSZXF1ZXN0MjM5NzIwNjE2
https://github.com/d3/d3,2019-09-25T05:15:43Z,MERGED,2,0,3,6,94,2019-09-24T22:45:14Z,MDExOlB1bGxSZXF1ZXN0MzIwOTkxOTAx
https://github.com/d3/d3,2020-08-26T21:34:57Z,MERGED,3,3,3,3374,441,2020-07-27T16:45:02Z,MDExOlB1bGxSZXF1ZXN0NDU3Mjc5MjMx
https://github.com/d3/d3,2020-08-26T20:38:10Z,MERGED,1,0,2,5,0,2020-08-23T23:27:20Z,MDExOlB1bGxSZXF1ZXN0NDcyMTkyMDg5
https://github.com/d3/d3,2017-10-02T17:09:00Z,MERGED,8,1,6,45,186,2017-07-07T18:19:01Z,MDExOlB1bGxSZXF1ZXN0MTI5NDYwMTMw
https://github.com/d3/d3,2019-01-19T16:26:50Z,CLOSED,3,2,6,10,210,2018-05-11T11:59:43Z,MDExOlB1bGxSZXF1ZXN0MTg3NDQ0Mzk1
https://github.com/d3/d3,2019-01-19T16:22:11Z,MERGED,2,0,4,19,154,2018-05-13T11:44:04Z,MDExOlB1bGxSZXF1ZXN0MTg3NjY1NjE4
https://github.com/d3/d3,2019-08-01T15:02:27Z,CLOSED,2,3,4,164,9279,2018-11-29T00:12:07Z,MDExOlB1bGxSZXF1ZXN0MjM0NDY3MjY2
https://github.com/d3/d3,2019-08-01T15:03:11Z,CLOSED,1,1,3,8,107,2018-12-05T10:57:47Z,MDExOlB1bGxSZXF1ZXN0MjM2MTMwMjA1
https://github.com/d3/d3,2019-08-01T15:08:11Z,CLOSED,1,4,5,6,0,2018-12-19T05:57:35Z,MDExOlB1bGxSZXF1ZXN0MjM5NzIwNjE2
https://github.com/d3/d3,2019-09-25T05:15:43Z,MERGED,2,0,3,6,94,2019-09-24T22:45:14Z,MDExOlB1bGxSZXF1ZXN0MzIwOTkxOTAx
https://github.com/d3/d3,2020-08-26T21:34:57Z,MERGED,3,3,3,3374,441,2020-07-27T16:45:02Z,MDExOlB1bGxSZXF1ZXN0NDU3Mjc5MjMx
https://github.com/d3/d3,2020-08-26T20:38:10Z,MERGED,1,0,2,5,0,2020-08-23T23:27:20Z,MDExOlB1bGxSZXF1ZXN0NDcyMTkyMDg5
