repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:17:45Z,MERGED,2,1,2,16,103,2017-01-09T01:19:11Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI0OTU2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T04:26:54Z,MERGED,1,4,3,0,0,2017-01-09T02:35:01Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI3Nzg5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:16:05Z,MERGED,2,3,2,55,582,2017-01-09T17:56:33Z,MDExOlB1bGxSZXF1ZXN0MTAwNzMwNjEy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:05:02Z,MERGED,1,2,3,33,0,2017-01-10T09:28:57Z,MDExOlB1bGxSZXF1ZXN0MTAwODM3MjIx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-24T03:59:06Z,CLOSED,3,10,4,17,177,2017-01-11T15:25:02Z,MDExOlB1bGxSZXF1ZXN0MTAxMDg2ODU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T03:29:40Z,MERGED,3,3,3,10,139,2017-01-11T18:20:11Z,MDExOlB1bGxSZXF1ZXN0MTAxMTIwMDM0
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-17T03:48:44Z,MERGED,6,2,3,34,38,2017-01-12T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTAxMjI2MzQ5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-27T04:36:16Z,CLOSED,8,4,3,31,216,2017-01-24T13:15:39Z,MDExOlB1bGxSZXF1ZXN0MTAyOTE1Nzcx
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-05T20:35:27Z,MERGED,1,1,3,6,32,2017-02-04T09:30:35Z,MDExOlB1bGxSZXF1ZXN0MTA0NjU1NjY5
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-11T01:31:20Z,MERGED,1,1,3,44,19,2017-02-10T09:07:15Z,MDExOlB1bGxSZXF1ZXN0MTA1NTg5Njc0
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-13T16:48:21Z,CLOSED,1,5,3,2341,21,2017-02-13T03:52:02Z,MDExOlB1bGxSZXF1ZXN0MTA1ODI1NDg4
https://github.com/ryanmcdermott/clean-code-javascript,2017-05-11T16:23:24Z,MERGED,2,5,3,6,75,2017-04-20T17:14:57Z,MDExOlB1bGxSZXF1ZXN0MTE2ODIxNTkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-06-09T21:19:42Z,MERGED,4,1,3,28,58,2017-06-02T16:32:15Z,MDExOlB1bGxSZXF1ZXN0MTIzNzU0OTY1
https://github.com/ryanmcdermott/clean-code-javascript,2017-07-16T21:14:00Z,CLOSED,2,1,3,1,14,2017-07-13T19:18:57Z,MDExOlB1bGxSZXF1ZXN0MTMwNDQ2ODk1
https://github.com/ryanmcdermott/clean-code-javascript,2020-10-07T20:18:15Z,CLOSED,1,6,3,1,0,2017-07-14T20:37:13Z,MDExOlB1bGxSZXF1ZXN0MTMwNjY5NjE0
https://github.com/ryanmcdermott/clean-code-javascript,2018-01-20T17:19:05Z,MERGED,1,1,3,2,75,2018-01-15T11:06:52Z,MDExOlB1bGxSZXF1ZXN0MTYyOTI0MjQ1
https://github.com/ryanmcdermott/clean-code-javascript,2019-01-24T02:55:23Z,CLOSED,3,2,4,2,27,2018-11-09T18:28:09Z,MDExOlB1bGxSZXF1ZXN0MjI5Nzc5OTIw
https://github.com/ryanmcdermott/clean-code-javascript,2019-02-02T10:20:54Z,CLOSED,4,3,3,31,83,2019-01-23T18:15:30Z,MDExOlB1bGxSZXF1ZXN0MjQ3MDY3NTc1
https://github.com/ryanmcdermott/clean-code-javascript,2020-07-31T03:09:46Z,MERGED,1,1,3,4,0,2020-01-21T08:29:03Z,MDExOlB1bGxSZXF1ZXN0MzY1MTUzODIy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-10T03:29:22Z,CLOSED,2,5,5,2,273,2017-01-04T22:26:03Z,MDExOlB1bGxSZXF1ZXN0MTAwMjAwNDQ2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:23:09Z,MERGED,1,4,2,35,543,2017-01-06T04:16:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNDA3Nzkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:29:28Z,MERGED,2,5,4,12,154,2017-01-06T08:52:10Z,MDExOlB1bGxSZXF1ZXN0MTAwNDI4MDc1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:58:10Z,CLOSED,3,1,4,140,108,2017-01-06T12:02:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDUwMTI1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-07T03:13:30Z,MERGED,4,3,2,82,0,2017-01-06T16:42:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDg3MjE3
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:42:27Z,MERGED,3,3,3,219,64,2017-01-06T22:02:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNTMzNTAw
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T02:52:59Z,CLOSED,1,10,5,7,344,2017-01-08T13:28:48Z,MDExOlB1bGxSZXF1ZXN0MTAwNjAyNDU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:17:45Z,MERGED,2,1,2,16,103,2017-01-09T01:19:11Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI0OTU2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T04:26:54Z,MERGED,1,4,3,0,0,2017-01-09T02:35:01Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI3Nzg5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:16:05Z,MERGED,2,3,2,55,582,2017-01-09T17:56:33Z,MDExOlB1bGxSZXF1ZXN0MTAwNzMwNjEy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:05:02Z,MERGED,1,2,3,33,0,2017-01-10T09:28:57Z,MDExOlB1bGxSZXF1ZXN0MTAwODM3MjIx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-24T03:59:06Z,CLOSED,3,10,4,17,177,2017-01-11T15:25:02Z,MDExOlB1bGxSZXF1ZXN0MTAxMDg2ODU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T03:29:40Z,MERGED,3,3,3,10,139,2017-01-11T18:20:11Z,MDExOlB1bGxSZXF1ZXN0MTAxMTIwMDM0
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-17T03:48:44Z,MERGED,6,2,3,34,38,2017-01-12T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTAxMjI2MzQ5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-27T04:36:16Z,CLOSED,8,4,3,31,216,2017-01-24T13:15:39Z,MDExOlB1bGxSZXF1ZXN0MTAyOTE1Nzcx
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-05T20:35:27Z,MERGED,1,1,3,6,32,2017-02-04T09:30:35Z,MDExOlB1bGxSZXF1ZXN0MTA0NjU1NjY5
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-11T01:31:20Z,MERGED,1,1,3,44,19,2017-02-10T09:07:15Z,MDExOlB1bGxSZXF1ZXN0MTA1NTg5Njc0
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-13T16:48:21Z,CLOSED,1,5,3,2341,21,2017-02-13T03:52:02Z,MDExOlB1bGxSZXF1ZXN0MTA1ODI1NDg4
https://github.com/ryanmcdermott/clean-code-javascript,2017-05-11T16:23:24Z,MERGED,2,5,3,6,75,2017-04-20T17:14:57Z,MDExOlB1bGxSZXF1ZXN0MTE2ODIxNTkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-06-09T21:19:42Z,MERGED,4,1,3,28,58,2017-06-02T16:32:15Z,MDExOlB1bGxSZXF1ZXN0MTIzNzU0OTY1
https://github.com/ryanmcdermott/clean-code-javascript,2017-07-16T21:14:00Z,CLOSED,2,1,3,1,14,2017-07-13T19:18:57Z,MDExOlB1bGxSZXF1ZXN0MTMwNDQ2ODk1
https://github.com/ryanmcdermott/clean-code-javascript,2020-10-07T20:18:15Z,CLOSED,1,6,3,1,0,2017-07-14T20:37:13Z,MDExOlB1bGxSZXF1ZXN0MTMwNjY5NjE0
https://github.com/ryanmcdermott/clean-code-javascript,2018-01-20T17:19:05Z,MERGED,1,1,3,2,75,2018-01-15T11:06:52Z,MDExOlB1bGxSZXF1ZXN0MTYyOTI0MjQ1
https://github.com/ryanmcdermott/clean-code-javascript,2019-01-24T02:55:23Z,CLOSED,3,2,4,2,27,2018-11-09T18:28:09Z,MDExOlB1bGxSZXF1ZXN0MjI5Nzc5OTIw
https://github.com/ryanmcdermott/clean-code-javascript,2019-02-02T10:20:54Z,CLOSED,4,3,3,31,83,2019-01-23T18:15:30Z,MDExOlB1bGxSZXF1ZXN0MjQ3MDY3NTc1
https://github.com/ryanmcdermott/clean-code-javascript,2020-07-31T03:09:46Z,MERGED,1,1,3,4,0,2020-01-21T08:29:03Z,MDExOlB1bGxSZXF1ZXN0MzY1MTUzODIy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-10T03:29:22Z,CLOSED,2,5,5,2,273,2017-01-04T22:26:03Z,MDExOlB1bGxSZXF1ZXN0MTAwMjAwNDQ2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:23:09Z,MERGED,1,4,2,35,543,2017-01-06T04:16:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNDA3Nzkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:29:28Z,MERGED,2,5,4,12,154,2017-01-06T08:52:10Z,MDExOlB1bGxSZXF1ZXN0MTAwNDI4MDc1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:58:10Z,CLOSED,3,1,4,140,108,2017-01-06T12:02:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDUwMTI1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-07T03:13:30Z,MERGED,4,3,2,82,0,2017-01-06T16:42:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDg3MjE3
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:42:27Z,MERGED,3,3,3,219,64,2017-01-06T22:02:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNTMzNTAw
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T02:52:59Z,CLOSED,1,10,5,7,344,2017-01-08T13:28:48Z,MDExOlB1bGxSZXF1ZXN0MTAwNjAyNDU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:17:45Z,MERGED,2,1,2,16,103,2017-01-09T01:19:11Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI0OTU2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T04:26:54Z,MERGED,1,4,3,0,0,2017-01-09T02:35:01Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI3Nzg5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:16:05Z,MERGED,2,3,2,55,582,2017-01-09T17:56:33Z,MDExOlB1bGxSZXF1ZXN0MTAwNzMwNjEy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:05:02Z,MERGED,1,2,3,33,0,2017-01-10T09:28:57Z,MDExOlB1bGxSZXF1ZXN0MTAwODM3MjIx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-24T03:59:06Z,CLOSED,3,10,4,17,177,2017-01-11T15:25:02Z,MDExOlB1bGxSZXF1ZXN0MTAxMDg2ODU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T03:29:40Z,MERGED,3,3,3,10,139,2017-01-11T18:20:11Z,MDExOlB1bGxSZXF1ZXN0MTAxMTIwMDM0
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-17T03:48:44Z,MERGED,6,2,3,34,38,2017-01-12T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTAxMjI2MzQ5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-27T04:36:16Z,CLOSED,8,4,3,31,216,2017-01-24T13:15:39Z,MDExOlB1bGxSZXF1ZXN0MTAyOTE1Nzcx
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-05T20:35:27Z,MERGED,1,1,3,6,32,2017-02-04T09:30:35Z,MDExOlB1bGxSZXF1ZXN0MTA0NjU1NjY5
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-11T01:31:20Z,MERGED,1,1,3,44,19,2017-02-10T09:07:15Z,MDExOlB1bGxSZXF1ZXN0MTA1NTg5Njc0
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-13T16:48:21Z,CLOSED,1,5,3,2341,21,2017-02-13T03:52:02Z,MDExOlB1bGxSZXF1ZXN0MTA1ODI1NDg4
https://github.com/ryanmcdermott/clean-code-javascript,2017-05-11T16:23:24Z,MERGED,2,5,3,6,75,2017-04-20T17:14:57Z,MDExOlB1bGxSZXF1ZXN0MTE2ODIxNTkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-06-09T21:19:42Z,MERGED,4,1,3,28,58,2017-06-02T16:32:15Z,MDExOlB1bGxSZXF1ZXN0MTIzNzU0OTY1
https://github.com/ryanmcdermott/clean-code-javascript,2017-07-16T21:14:00Z,CLOSED,2,1,3,1,14,2017-07-13T19:18:57Z,MDExOlB1bGxSZXF1ZXN0MTMwNDQ2ODk1
https://github.com/ryanmcdermott/clean-code-javascript,2020-10-07T20:18:15Z,CLOSED,1,6,3,1,0,2017-07-14T20:37:13Z,MDExOlB1bGxSZXF1ZXN0MTMwNjY5NjE0
https://github.com/ryanmcdermott/clean-code-javascript,2018-01-20T17:19:05Z,MERGED,1,1,3,2,75,2018-01-15T11:06:52Z,MDExOlB1bGxSZXF1ZXN0MTYyOTI0MjQ1
https://github.com/ryanmcdermott/clean-code-javascript,2019-01-24T02:55:23Z,CLOSED,3,2,4,2,27,2018-11-09T18:28:09Z,MDExOlB1bGxSZXF1ZXN0MjI5Nzc5OTIw
https://github.com/ryanmcdermott/clean-code-javascript,2019-02-02T10:20:54Z,CLOSED,4,3,3,31,83,2019-01-23T18:15:30Z,MDExOlB1bGxSZXF1ZXN0MjQ3MDY3NTc1
https://github.com/ryanmcdermott/clean-code-javascript,2020-07-31T03:09:46Z,MERGED,1,1,3,4,0,2020-01-21T08:29:03Z,MDExOlB1bGxSZXF1ZXN0MzY1MTUzODIy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-10T03:29:22Z,CLOSED,2,5,5,2,273,2017-01-04T22:26:03Z,MDExOlB1bGxSZXF1ZXN0MTAwMjAwNDQ2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:23:09Z,MERGED,1,4,2,35,543,2017-01-06T04:16:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNDA3Nzkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:29:28Z,MERGED,2,5,4,12,154,2017-01-06T08:52:10Z,MDExOlB1bGxSZXF1ZXN0MTAwNDI4MDc1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:58:10Z,CLOSED,3,1,4,140,108,2017-01-06T12:02:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDUwMTI1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-07T03:13:30Z,MERGED,4,3,2,82,0,2017-01-06T16:42:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDg3MjE3
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:42:27Z,MERGED,3,3,3,219,64,2017-01-06T22:02:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNTMzNTAw
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T02:52:59Z,CLOSED,1,10,5,7,344,2017-01-08T13:28:48Z,MDExOlB1bGxSZXF1ZXN0MTAwNjAyNDU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:17:45Z,MERGED,2,1,2,16,103,2017-01-09T01:19:11Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI0OTU2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T04:26:54Z,MERGED,1,4,3,0,0,2017-01-09T02:35:01Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI3Nzg5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:16:05Z,MERGED,2,3,2,55,582,2017-01-09T17:56:33Z,MDExOlB1bGxSZXF1ZXN0MTAwNzMwNjEy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:05:02Z,MERGED,1,2,3,33,0,2017-01-10T09:28:57Z,MDExOlB1bGxSZXF1ZXN0MTAwODM3MjIx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-24T03:59:06Z,CLOSED,3,10,4,17,177,2017-01-11T15:25:02Z,MDExOlB1bGxSZXF1ZXN0MTAxMDg2ODU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T03:29:40Z,MERGED,3,3,3,10,139,2017-01-11T18:20:11Z,MDExOlB1bGxSZXF1ZXN0MTAxMTIwMDM0
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-17T03:48:44Z,MERGED,6,2,3,34,38,2017-01-12T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTAxMjI2MzQ5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-27T04:36:16Z,CLOSED,8,4,3,31,216,2017-01-24T13:15:39Z,MDExOlB1bGxSZXF1ZXN0MTAyOTE1Nzcx
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-05T20:35:27Z,MERGED,1,1,3,6,32,2017-02-04T09:30:35Z,MDExOlB1bGxSZXF1ZXN0MTA0NjU1NjY5
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-11T01:31:20Z,MERGED,1,1,3,44,19,2017-02-10T09:07:15Z,MDExOlB1bGxSZXF1ZXN0MTA1NTg5Njc0
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-13T16:48:21Z,CLOSED,1,5,3,2341,21,2017-02-13T03:52:02Z,MDExOlB1bGxSZXF1ZXN0MTA1ODI1NDg4
https://github.com/ryanmcdermott/clean-code-javascript,2017-05-11T16:23:24Z,MERGED,2,5,3,6,75,2017-04-20T17:14:57Z,MDExOlB1bGxSZXF1ZXN0MTE2ODIxNTkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-06-09T21:19:42Z,MERGED,4,1,3,28,58,2017-06-02T16:32:15Z,MDExOlB1bGxSZXF1ZXN0MTIzNzU0OTY1
https://github.com/ryanmcdermott/clean-code-javascript,2017-07-16T21:14:00Z,CLOSED,2,1,3,1,14,2017-07-13T19:18:57Z,MDExOlB1bGxSZXF1ZXN0MTMwNDQ2ODk1
https://github.com/ryanmcdermott/clean-code-javascript,2020-10-07T20:18:15Z,CLOSED,1,6,3,1,0,2017-07-14T20:37:13Z,MDExOlB1bGxSZXF1ZXN0MTMwNjY5NjE0
https://github.com/ryanmcdermott/clean-code-javascript,2018-01-20T17:19:05Z,MERGED,1,1,3,2,75,2018-01-15T11:06:52Z,MDExOlB1bGxSZXF1ZXN0MTYyOTI0MjQ1
https://github.com/ryanmcdermott/clean-code-javascript,2019-01-24T02:55:23Z,CLOSED,3,2,4,2,27,2018-11-09T18:28:09Z,MDExOlB1bGxSZXF1ZXN0MjI5Nzc5OTIw
https://github.com/ryanmcdermott/clean-code-javascript,2019-02-02T10:20:54Z,CLOSED,4,3,3,31,83,2019-01-23T18:15:30Z,MDExOlB1bGxSZXF1ZXN0MjQ3MDY3NTc1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-10T03:29:22Z,CLOSED,2,5,5,2,273,2017-01-04T22:26:03Z,MDExOlB1bGxSZXF1ZXN0MTAwMjAwNDQ2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:23:09Z,MERGED,1,4,2,35,543,2017-01-06T04:16:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNDA3Nzkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:29:28Z,MERGED,2,5,4,12,154,2017-01-06T08:52:10Z,MDExOlB1bGxSZXF1ZXN0MTAwNDI4MDc1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:58:10Z,CLOSED,3,1,4,140,108,2017-01-06T12:02:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDUwMTI1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-07T03:13:30Z,MERGED,4,3,2,82,0,2017-01-06T16:42:18Z,MDExOlB1bGxSZXF1ZXN0MTAwNDg3MjE3
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-08T16:42:27Z,MERGED,3,3,3,219,64,2017-01-06T22:02:49Z,MDExOlB1bGxSZXF1ZXN0MTAwNTMzNTAw
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T02:52:59Z,CLOSED,1,10,5,7,344,2017-01-08T13:28:48Z,MDExOlB1bGxSZXF1ZXN0MTAwNjAyNDU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:17:45Z,MERGED,2,1,2,16,103,2017-01-09T01:19:11Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI0OTU2
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T04:26:54Z,MERGED,1,4,3,0,0,2017-01-09T02:35:01Z,MDExOlB1bGxSZXF1ZXN0MTAwNjI3Nzg5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:16:05Z,MERGED,2,3,2,55,582,2017-01-09T17:56:33Z,MDExOlB1bGxSZXF1ZXN0MTAwNzMwNjEy
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-11T03:05:02Z,MERGED,1,2,3,33,0,2017-01-10T09:28:57Z,MDExOlB1bGxSZXF1ZXN0MTAwODM3MjIx
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-24T03:59:06Z,CLOSED,3,10,4,17,177,2017-01-11T15:25:02Z,MDExOlB1bGxSZXF1ZXN0MTAxMDg2ODU1
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-13T03:29:40Z,MERGED,3,3,3,10,139,2017-01-11T18:20:11Z,MDExOlB1bGxSZXF1ZXN0MTAxMTIwMDM0
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-17T03:48:44Z,MERGED,6,2,3,34,38,2017-01-12T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTAxMjI2MzQ5
https://github.com/ryanmcdermott/clean-code-javascript,2017-01-27T04:36:16Z,CLOSED,8,4,3,31,216,2017-01-24T13:15:39Z,MDExOlB1bGxSZXF1ZXN0MTAyOTE1Nzcx
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-05T20:35:27Z,MERGED,1,1,3,6,32,2017-02-04T09:30:35Z,MDExOlB1bGxSZXF1ZXN0MTA0NjU1NjY5
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-11T01:31:20Z,MERGED,1,1,3,44,19,2017-02-10T09:07:15Z,MDExOlB1bGxSZXF1ZXN0MTA1NTg5Njc0
https://github.com/ryanmcdermott/clean-code-javascript,2017-02-13T16:48:21Z,CLOSED,1,5,3,2341,21,2017-02-13T03:52:02Z,MDExOlB1bGxSZXF1ZXN0MTA1ODI1NDg4
https://github.com/ryanmcdermott/clean-code-javascript,2017-05-11T16:23:24Z,MERGED,2,5,3,6,75,2017-04-20T17:14:57Z,MDExOlB1bGxSZXF1ZXN0MTE2ODIxNTkx
https://github.com/ryanmcdermott/clean-code-javascript,2017-06-09T21:19:42Z,MERGED,4,1,3,28,58,2017-06-02T16:32:15Z,MDExOlB1bGxSZXF1ZXN0MTIzNzU0OTY1
https://github.com/ryanmcdermott/clean-code-javascript,2017-07-16T21:14:00Z,CLOSED,2,1,3,1,14,2017-07-13T19:18:57Z,MDExOlB1bGxSZXF1ZXN0MTMwNDQ2ODk1
https://github.com/ryanmcdermott/clean-code-javascript,2020-10-07T20:18:15Z,CLOSED,1,6,3,1,0,2017-07-14T20:37:13Z,MDExOlB1bGxSZXF1ZXN0MTMwNjY5NjE0
https://github.com/ryanmcdermott/clean-code-javascript,2018-01-20T17:19:05Z,MERGED,1,1,3,2,75,2018-01-15T11:06:52Z,MDExOlB1bGxSZXF1ZXN0MTYyOTI0MjQ1
https://github.com/ryanmcdermott/clean-code-javascript,2019-01-24T02:55:23Z,CLOSED,3,2,4,2,27,2018-11-09T18:28:09Z,MDExOlB1bGxSZXF1ZXN0MjI5Nzc5OTIw
https://github.com/ryanmcdermott/clean-code-javascript,2019-02-02T10:20:54Z,CLOSED,4,3,3,31,83,2019-01-23T18:15:30Z,MDExOlB1bGxSZXF1ZXN0MjQ3MDY3NTc1
https://github.com/ryanmcdermott/clean-code-javascript,2020-07-31T03:09:46Z,MERGED,1,1,3,4,0,2020-01-21T08:29:03Z,MDExOlB1bGxSZXF1ZXN0MzY1MTUzODIy
